調達機関名,課所名,調達案件名称,入札方式,開札日,年度,設計額,予定価格,調査基準価格,落札金額,落札業者名,参加業者数,分野分類,不調,落札率,調査価格率
川島町,川島町 （政策推進課） 政策推進課,令和6年度下水道管路改築・更新計画に伴う施設点検調査業務委託（ストックマネジメント）,一般競争入札（ダイレクト入札）,2024-10-02,2024,13810000,13810000,11048000,12950000,株式会社東洋コンサルタント 埼玉支店,4,下水道,false,0.938,0.8
川島町,川島町 （政策推進課） 政策推進課,（道メ）令和6年度 川島町橋梁定期点検業務委託,一般競争入札（ダイレクト入札）,2024-10-02,2024,15509000,15509000,,8787000,伸栄開発株式会社 関東支店,13,橋梁,false,0.567,
川島町,川島町 （政策推進課） 政策推進課,令和6年度町道1-12号線外設計測量業務委託,指名競争入札,2024-09-12,2024,6193000,6193000,4886000,5700000,株式会社ミカミ・アイエヌジー 川島支店,5,測量,false,0.92,0.789
川島町,川島町 （政策推進課） 政策推進課,令和６年度雨天時浸入水対策調査業務委託,一般競争入札（ダイレクト入札）,2024-06-27,2024,9927000,9927000,8848000,,,3,測定・検査・調査,true,,0.891
川島町,川島町 （政策推進課） 政策推進課,作業環境中のダイオキシン類調査業務委託,指名競争入札,2024-06-26,2024,782000,782000,625000,640000,東京テクニカル・サービス株式会社 埼玉支店,5,測定・検査・調査,false,0.818,0.799
川島町,川島町 （政策推進課） 政策推進課,川島町公共下水道事業計画変更業務委託,指名競争入札,2024-05-29,2024,4683000,4683000,4182000,4250000,オリジナル設計株式会社 埼玉営業所,5,下水道,false,0.908,0.893
川島町,川島町 （政策推進課） 政策推進課,川島町上下水道事業料金検討支援業務委託,一般競争入札（ダイレクト入札）,2024-05-07,2024,18250000,18250000,14524000,14524000,新日本設計株式会社 関東事務所,7,下水道,false,0.796,0.796
川島町,川島町 （政策推進課） 政策推進課,八ツ保公民館解体工事事前アスベスト調査業務,指名競争入札,2024-04-26,2024,1225000,1225000,,644000,エヌエス環境株式会社 東京支社,5,測定・検査・調査,false,0.526,
川島町,川島町 （政策推進課） 政策推進課,吹塚浄水場機械設備棟設計業務委託,指名競争入札,2024-04-25,2024,9000000,9000000,7183000,8800000,新日本設計株式会社 関東事務所,5,上水道,false,0.978,0.798
川島町,川島町 （政策推進課） 政策推進課,配水管布設替等工事設計業務委託,指名競争入札,2024-04-25,2024,5400000,5400000,4303000,5100000,新日本設計株式会社 関東事務所,5,上水道,false,0.944,0.797
川島町,川島町 （政策推進課） 政策推進課,令和６年度河川水質調査業務委託,指名競争入札,2024-04-18,2024,1531000,1531000,1224000,1491000,株式会社環境総合研究所 本店,4,河川・砂防,false,0.974,0.799
川島町,川島町 （政策推進課） 政策推進課,川島町環境センター（ごみ処理施設）ダイオキシン類及びばい煙等環境調査業務委託,指名競争入札,2024-04-18,2024,4526000,4526000,3620000,4300000,株式会社環境総合研究所 本店,5,廃棄物,false,0.95,0.8
吉見町,吉見町 （総合政策課） 総合政策課,吉見町公共用水域水質調査業務委託,指名競争入札,2026-04-27,2026,1270000,1270000,,1086000,環境未来株式会社 埼玉営業所,5,測定・検査・調査,false,0.855,
吉見町,吉見町 （総合政策課） 総合政策課,実施設計業務委託R８－１,指名競争入札,2026-03-10,2025,10720000,10720000,,10000000,株式会社シーエスエンジニアズ 本店,5,その他,false,0.933,
吉見町,吉見町 （総合政策課） 総合政策課,吉見町上水道配水管切廻し工事実施設計業務委託,指名競争入札,2025-12-09,2025,5030000,5030000,,2980000,株式会社東朋エンジニアリング 所沢営業所,7,上水道,false,0.592,
吉見町,吉見町 （総合政策課） 総合政策課,吉見百穴基礎調査業務委託,指名競争入札,2025-08-28,2025,15760000,15760000,,15310000,応用地質株式会社 東京事務所,5,測定・検査・調査,false,0.971,
吉見町,吉見町 （総合政策課） 総合政策課,実施設計業務委託R７－１,指名競争入札,2025-06-20,2025,14147000,14147000,,13200000,株式会社シーエスエンジニアズ 本店,5,その他,false,0.933,
吉見町,吉見町 （総合政策課） 総合政策課,吉見町公共用水域水質調査業務委託,指名競争入札,2025-05-23,2025,1450000,1450000,,1173650,環境未来株式会社 埼玉営業所,5,測定・検査・調査,false,0.809,
吉見町,吉見町 （総合政策課） 総合政策課,吉見町上水道給水管布設及び布設替工事実施設計業務委託,指名競争入札,2025-05-23,2025,6460000,6460000,,3876000,株式会社東朋エンジニアリング 所沢営業所,7,上水道,false,0.6,
吉見町,吉見町 （総合政策課） 総合政策課,吉見町上水道配水管布設工事実施設計業務委託（その３）,指名競争入札,2024-11-11,2024,9050000,9050000,,6700000,株式会社コーセツコンサルタント 関東支店,7,上水道,false,0.74,
吉見町,吉見町 （総合政策課） 総合政策課,内水浸水想定区域図作成業務委託,一般競争入札（ダイレクト入札）,2024-06-06,2024,19715000,19715000,,12125000,株式会社日本インシーク 埼玉支店,5,河川・砂防,false,0.615,
吉見町,吉見町 （総合政策課） 総合政策課,八丁湖公園護岸詳細設計業務委託,指名競争入札,2024-05-24,2024,4806000,4806000,,4400000,三協測量設計株式会社 東松山支店,8,河川・砂防,false,0.916,
吉見町,吉見町 （総合政策課） 総合政策課,吉見町上水道黒岩配水場受配電施設更新工事等実施設計業務委託,指名競争入札,2024-05-24,2024,14890000,14890000,,9770000,株式会社東洋設計 比企営業所,5,設備設計,false,0.656,
吉見町,吉見町 （総合政策課） 総合政策課,吉見町公共下水道全体計画見直し業務委託,指名競争入札,2024-04-26,2024,4900000,4900000,,4500000,株式会社シーエスエンジニアズ 本店,5,下水道,false,0.918,
吉見町,吉見町 （総合政策課） 総合政策課,吉見町上水道配水管布設替工事実施設計業務委託（その２）,指名競争入札,2024-04-26,2024,7560000,7560000,,4914000,株式会社東朋エンジニアリング 所沢営業所,7,上水道,false,0.65,
吉見町,吉見町 （総合政策課） 総合政策課,吉見町上水道配水管布設替工事実施設計業務委託（その１）,指名競争入札,2024-04-26,2024,7350000,7350000,,2880000,新日本設計株式会社 関東事務所,7,上水道,false,0.392,
鳩山町,鳩山町 （政策財政課） 政策財政課,道路メンテナンス補助 2308-1橋補修設計業務,指名競争入札,2025-08-07,2025,6272000,6272000,,6000000,株式会社橋梁コンサルタント さいたま事務所,8,橋梁,false,0.957,
鳩山町,鳩山町 （政策財政課） 政策財政課,道路メンテナンス補助 鳩山町橋梁長寿命化修繕計画修正業務,指名競争入札,2025-07-03,2025,7179000,7179000,,6800000,開発虎ノ門コンサルタント株式会社 埼玉事務所,7,橋梁,false,0.947,
鳩山町,鳩山町 （政策財政課） 政策財政課,鳩川等河川水質検査分析業務,指名競争入札,2025-07-03,2025,1288000,1288000,,797000,エヌエス環境株式会社 東京支社,5,河川・砂防,false,0.619,
鳩山町,鳩山町 （政策財政課） 政策財政課,道路メンテナンス補助 鳩山町橋梁定期点検業務,指名競争入札,2025-06-12,2025,7121000,7121000,,6800000,開発虎ノ門コンサルタント株式会社 埼玉事務所,7,橋梁,false,0.955,
鳩山町,鳩山町 （政策財政課） 政策財政課,辻川等整備工事その１施工監理業務,指名競争入札,2025-06-12,2025,4133000,4133000,,3700000,東日本総合計画株式会社 本店,10,施工監理,false,0.895,
鳩山町,鳩山町 （政策財政課） 政策財政課,道路メンテナンス補助 鳩山町橋梁定期点検業務,指名競争入札,2024-08-14,2024,6516000,6516000,,5700000,開発虎ノ門コンサルタント株式会社 埼玉事務所,7,橋梁,false,0.875,
