取得日時,入札方式,調達案件名称,案件番号,開札日,年度,設計額,予定価格,調査基準価格,課所名,発注部局,落札業者名,落札金額,参加業者数,分野分類,発注方式,不調,落札率,調査価格率
2026/05/20 14:48:14,指名競争入札,市野川流域処理場汚泥処理棟既設部改築設計業務委託,25200154590,2025-08-26,2025,8027000,8027000,6449000,埼玉県 下水道局 荒川左岸北部下水道事務所,下水道局,株式会社日新技術コンサルタント 埼玉出張所,7190000,12,下水道,指名競争入札,false,0.896,0.803
2026/05/20 14:48:17,一般競争入札（ダイレクト入札）,河改（水辺）（入間川護岸詳細設計）安比奈新田,25000094635,2025-08-25,2025,6825000,6825000,5485000,埼玉県 県土整備部 川越県土整備事務所,県土整備部,東日本総合計画株式会社 本店,5485000,11,河川・砂防,一般競争入札（ダイレクト入札）,false,0.804,0.804
2026/05/20 14:48:19,一般競争入札（ダイレクト入札）,河改（水辺）（南小畔川護岸修繕測量設計）,25000095118,2025-08-25,2025,11305000,11305000,8968000,埼玉県 県土整備部 川越県土整備事務所,県土整備部,株式会社技術開発コンサルタント 本店,8968000,10,河川・砂防,一般競争入札（ダイレクト入札）,false,0.793,0.793
2026/05/20 14:48:21,一般競争入札（ダイレクト入札）,公園等建設工事（費用対効果分析業務委託）,25100154603,2025-08-25,2025,8362000,8362000,6714000,埼玉県 都市整備部 公園スタジアム課,都市整備部,大日コンサルタント株式会社 埼玉事務所,6714000,13,公園・緑地,一般競争入札（ダイレクト入札）,false,0.803,0.803
2026/05/20 14:48:23,一般競争入札（ダイレクト入札）,０２５大改第６５４号 川口上青木浄水場支線制水弁設置工事実施設計業務委託,25100154441,2025-08-22,2025,8317000,8317000,6983000,埼玉県 企業局 大久保浄水場,企業局,株式会社東洋コンサルタント 埼玉支店,8000000,2,上水道,一般競争入札（ダイレクト入札）,false,0.962,0.84
2026/05/20 14:48:25,指名競争入札,５６２０自転車通行環境整備工事（街渠修繕設計業務委託）,25000096502,2025-08-22,2025,5657000,5657000,4548000,埼玉県 県土整備部 さいたま県土整備事務所,県土整備部,株式会社日本設計コンサルタント 本店,4548000,11,道路,指名競争入札,false,0.804,0.804
2026/05/20 14:48:27,一般競争入札（ダイレクト入札）,総委重）５３０６道路構造物維持工事（橋梁点検業務委託）,25000093782,2025-08-22,2025,10485000,10485000,8453000,埼玉県 県土整備部 朝霞県土整備事務所,県土整備部,株式会社日本インシーク 埼玉支店,8453000,24,橋梁,総合評価,false,0.806,0.806
2026/05/20 14:48:30,指名競争入札,７生川治山測量設計業務委託,25000095940,2025-08-22,2025,3550000,3550000,2855000,埼玉県 農林部 秩父農林振興センター,農林部,株式会社ランド佐藤技術士事務所 本店,3290000,10,河川・砂防,指名競争入札,false,0.927,0.804
2026/05/20 14:48:32,一般競争入札（ダイレクト入札）,７上野大滝線ほか森林管理道トンネル点検業務委託,25000095984,2025-08-22,2025,14930000,14930000,12018000,埼玉県 農林部 秩父農林振興センター,農林部,株式会社橋梁コンサルタント さいたま事務所,12018000,14,トンネル,一般競争入札（ダイレクト入札）,false,0.805,0.805
2026/05/20 14:48:34,指名競争入札,道路改築工事（法面詳細設計業務委託）円良田工区,25000095150,2025-08-21,2025,6482000,6482000,5210000,埼玉県 県土整備部 本庄県土整備事務所,県土整備部,サンコーコンサルタント株式会社 北関東支店,5210000,11,道路,指名競争入札,false,0.804,0.804
2026/05/20 14:48:40,一般競争入札（ダイレクト入札）,道路構造物維持工事（橋梁詳細点検業務委託）その３,25100154464,2025-08-21,2025,11725000,11725000,9427000,埼玉県 県土整備部 本庄県土整備事務所,県土整備部,株式会社橋梁コンサルタント さいたま事務所,9427000,53,橋梁,一般競争入札（ダイレクト入札）,false,0.804,0.804
